_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE?,FIRE_ALARM,GARBAGE_CHUTES,HEATING_TYPE,INTERCOM,IS_THERE_A_COOLING_ROOM?,IS_THERE_EMERGENCY_POWER?,LAUNDRY_ROOM,LOCKER_OR_STORAGE_ROOM,NO_BARRIERFREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,NO_OF_ELEVATORS,NO_OF_STOREYS,NO_OF_UNITS,NON-SMOKING_BUILDING,PARKING_TYPE,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_REGISTERED
4137,NONE,,YES,NO,0 indoor parking spots and 50 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0.0,2.0,2.0,14,188,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,NUSPOR INVESTMENTS,PRIVATE,4152964,NO,NO,NO,1251  KING ST W,YES,PAID,04,DOUBLE PANE,1972.0,2017.0
4138,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,NO,YES,YES,0.0,0.0,2.0,19,120,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg",YES,RANEE MANAGEMENT,PRIVATE,4152972,NO,NO,NO,90  TYNDALL AVE ,YES,FREE,04,DOUBLE PANE,1962.0,2017.0
4139,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,2.0,7,65,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4152974,NO,YES,NO,40  TYNDALL AVE ,YES,FREE,04,DOUBLE PANE,1965.0,2017.0
4140,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,2.0,9,91,NO,Underground Garage,YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4152980,NO,YES,NO,87  JAMESON AVE ,YES,FREE,04,DOUBLE PANE,1959.0,2017.0
4141,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0.0,2.0,1.0,7,67,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4152984,NO,YES,NO,125  JAMESON AVE ,YES,FREE,04,DOUBLE PANE,1955.0,2017.0
4142,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,28,NO,Ground Level Garage,YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4152987,NO,YES,NO,146  JAMESON AVE ,YES,FREE,04,DOUBLE PANE,1956.0,2017.0
4143,NONE,,NO,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,NO,NO,NO,YES,NO,241.0,39.0,2.0,11,241,NO,"Ground Level Garage , Surface Parking",NO,BRADLEY COURT LTD.,PRIVATE,4153443,NO,NO,NO,280  DUNDAS ST E,YES,UNAVAILABLE,13,SINGLE PANE,1973.0,2017.0
4144,INDIVIDUAL UNITS,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Child play area",NO,YES,75 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0.0,3.0,6.0,5,50,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,YWCA TORONTO,SOCIAL HOUSING,4153458,NO,YES,NO,110  EDWARD ST ,NO,UNAVAILABLE,11,THERMAL,2011.0,2017.0
4145,INDIVIDUAL UNITS,"Indoor pool , Sauna",NO,NO,0 indoor parking spots and 12 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,NO,0.0,4.0,4.0,33,447,NO,"Underground Garage , Garage accessible thru buildg",YES,MAPLE LEAF PROPERTY MANAGEMENT,PRIVATE,4153461,NO,NO,NO,40  GERRARD ST E,YES,PAID,13,DOUBLE PANE,1969.0,2017.0
4146,NONE,Indoor recreation room,NO,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,YES,YES,YES,NO,2.0,1.0,4.0,18,326,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,TCHC,4153469,NO,NO,NO,341  BLOOR ST W,YES,PAID,11,DOUBLE PANE,1980.0,2017.0
4147,NONE,,YES,NO,40 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,NO,YES,YES,0.0,0.0,2.0,18,118,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4153471,NO,NO,NO,155  WELLESLEY ST E,YES,PAID,13,DOUBLE PANE,1966.0,2017.0
4148,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,1.0,7,70,NO,"Underground Garage , Garage accessible thru buildg",YES,TIMBERCREEK COMMUNITIES,PRIVATE,4153960,NO,YES,NO,630  VESTA DR ,YES,UNAVAILABLE,08,DOUBLE PANE,1959.0,2018.0
4149,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,2.0,3.0,2.0,9,53,YES,"Underground Garage , Garage accessible thru buildg",YES,TCH,TCHC,4153968,NO,NO,NO,145  ELM RIDGE DR ,YES,PAID,08,DOUBLE PANE,1985.0,2017.0
4150,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,,YES,NO,NO,YES,YES,,0.0,1.0,6,62,,"Ground Level Garage , Garage accessible thru buildg",NO,REM FACILITIES MANAGEMENT INC,PRIVATE,4153983,NO,YES,NO,2601  BATHURST ST ,YES,UNAVAILABLE,08,SINGLE PANE,1953.0,2018.0
4151,NONE,,NO,NO,10 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,10,NO,,YES,ROCKWOOD MANAGEMENT INC.,PRIVATE,4153988,NO,YES,NO,2094  YONGE ST ,NO,UNAVAILABLE,12,DOUBLE PANE,1930.0,2017.0
4152,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,0.0,3,18,NO,,NO,,PRIVATE,4153991,NO,YES,YES,115  EGLINTON AVE W,NO,UNAVAILABLE,12,DOUBLE PANE,1950.0,2017.0
4153,NONE,,YES,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,10,NO,Underground Garage,YES,CANDO APARTMENTS LTD.,PRIVATE,4153995,NO,YES,NO,869  AVENUE RD ,YES,UNAVAILABLE,12,DOUBLE PANE,1948.0,2017.0
4154,NONE,,YES,NO,20 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,14.0,2.0,10,79,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,PACMAR HOLDINGS LTD,PRIVATE,4154471,NO,NO,NO,345  SENTINEL RD ,YES,FREE,07,DOUBLE PANE,1970.0,2017.0
4155,NONE,,YES,YES,Not Available,NO,Unknown,YES,NO,HOT WATER,YES,NO,NO,YES,YES,42.0,58.0,1.0,4,42,NO,"Ground Level Garage , Surface Parking",YES,EMBEE PROPERTIES LIMITED,PRIVATE,4154491,NO,YES,NO,435  GLEN PARK AVE ,YES,UNAVAILABLE,08,DOUBLE PANE,1962.0,2017.0
4156,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,11,,,,,PRIVATE,4154502,,,,89  NEPTUNE DR ,,,08,DOUBLE PANE,,
4157,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,10.0,0.0,3,10,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154856,NO,YES,NO,76  BARTLEY DR ,YES,UNAVAILABLE,16,SINGLE PANE,1950.0,2017.0
4158,INDIVIDUAL UNITS,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,3,27,NO,"Ground Level Garage , Surface Parking",YES,RAINBOW MANAGEMENT INC,PRIVATE,4154862,NO,YES,NO,1600  VICTORIA PARK AVE ,YES,FREE,16,DOUBLE PANE,1968.0,2017.0
4159,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,2.0,2.0,1.0,4,48,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154868,NO,YES,NO,1  BIGGIN CRT ,NO,FREE,16,DOUBLE PANE,1955.0,2017.0
4160,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,4,62,YES,"Ground Level Garage , Surface Parking",YES,PINEDALE PROPERTIES LTD,PRIVATE,4154875,NO,YES,NO,1  ECCLESTON DR ,YES,FREE,16,DOUBLE PANE,1960.0,2017.0
4161,NONE,,YES,YES,0 indoor parking spots and 3 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,52.0,26.0,1.0,5,52,NO,"Underground Garage , Ground Level Garage , Surface Parking",YES,ELLSBIRCH LIMITED,PRIVATE,4154879,NO,YES,NO,1698  VICTORIA PARK AVE ,NO,FREE,16,DOUBLE PANE,1966.0,2017.0
4162,NONE,Indoor recreation room,YES,YES,Not Available,YES,Green Bin / Organics,YES,YES,ELECTRIC,NO,YES,YES,YES,YES,1.0,2.0,2.0,8,112,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,SOCIAL HOUSING,4154880,NO,NO,NO,1684  VICTORIA PARK AVE ,NO,FREE,16,DOUBLE PANE,1987.0,2017.0
4163,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,2.0,15,119,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4155393,NO,NO,NO,555  THE WEST MALL  ,YES,FREE,02,DOUBLE PANE,1970.0,2017.0
4164,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,1.0,2.0,11,126,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4155406,NO,YES,NO,675  MARTIN GROVE RD ,YES,FREE,02,DOUBLE PANE,1972.0,2017.0
4165,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,1.0,1.0,5,61,NO,"Ground Level Garage , Surface Parking",YES,CAPREIT,PRIVATE,4155414,NO,YES,NO,55  BRIDESBURG DR ,YES,FREE,01,DOUBLE PANE,1965.0,2017.0
4166,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,1.0,1.0,5,62,NO,"Ground Level Garage , Surface Parking",YES,CAPREIT,PRIVATE,4155415,NO,YES,NO,25  BRIDESBURG DR ,YES,FREE,01,DOUBLE PANE,1965.0,2017.0
4167,NONE,Child play area,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,1.0,0.0,1.0,6,66,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4155789,NO,YES,NO,1122  DON MILLS RD ,YES,FREE,16,DOUBLE PANE,1958.0,2017.0
4168,NONE,Indoor recreation room,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,YES,0.0,0.0,0.0,3,47,NO,"Ground Level Garage , Surface Parking",YES,BENTALL KENNEDY (CANADA) LP.,PRIVATE,4155802,NO,YES,NO,14  ENGELHART CRES ,NO,UNAVAILABLE,20,DOUBLE PANE,1956.0,2017.0
4169,NONE,,YES,YES,25 indoor parking spots and 15 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,59.0,0.0,1.0,4,59,YES,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4155959,NO,YES,NO,11  ELM AVE ,YES,UNAVAILABLE,11,DOUBLE PANE,1957.0,2017.0
4170,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,NO,NO,NO,YES,NO,0.0,0.0,0.0,3,14,NO,Surface Parking,YES,1034523 ONTARIO LTD,PRIVATE,4156379,NO,YES,NO,1449  KINGSTON RD ,YES,PAID,20,DOUBLE PANE,1940.0,2017.0
4171,NONE,,YES,NO,0 indoor parking spots and 15 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,17,YES,,NO,741476 ONTARIO INC.,PRIVATE,4156719,NO,YES,NO,359  DAVENPORT RD ,NO,UNAVAILABLE,11,DOUBLE PANE,1900.0,2017.0
4172,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,42,YES,,YES,,PRIVATE,4153003,NO,YES,NO,1623  QUEEN ST W,YES,UNAVAILABLE,04,SINGLE PANE,1922.0,2017.0
4173,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,5,27,YES,,YES,AKELIUSCANADALTD,PRIVATE,4153014,NO,YES,NO,122  DOWLING AVE ,NO,UNAVAILABLE,04,THERMAL,1930.0,2017.0
4174,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,2.0,11,62,YES,"Underground Garage , Garage accessible thru buildg",YES,AKELIUS CANADA LTD,PRIVATE,4153023,NO,YES,NO,190  JAMESON AVE ,YES,UNAVAILABLE,04,DOUBLE PANE,1963.0,2019.0
4175,NONE,,NO,NO,0 indoor parking spots and 6 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,4.0,0.0,3,37,NO,Surface Parking,YES,,PRIVATE,4153487,NO,NO,NO,33  MAITLAND ST ,NO,FREE,13,SINGLE PANE,1923.0,2017.0
4176,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0.0,10.0,0.0,4,22,YES,Surface Parking,NO,HIGH VALUE CONSULTANTS LTD,PRIVATE,4154007,NO,YES,NO,1106  AVENUE RD ,NO,UNAVAILABLE,08,DOUBLE PANE,1960.0,2017.0
4177,NONE,,YES,NO,15 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0.0,16.0,0.0,3,39,YES,"Underground Garage , Garage accessible thru buildg",NO,HIGH VALUE CONSULTANTS LTD,PRIVATE,4154026,NO,YES,NO,15  BEDFORD PARK AVE ,YES,UNAVAILABLE,08,DOUBLE PANE,1960.0,2017.0
4178,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,10,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154504,NO,YES,NO,49  NEPTUNE DR ,NO,UNAVAILABLE,08,DOUBLE PANE,1990.0,2017.0
4179,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0.0,12.0,0.0,3,10,YES,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4154524,NO,YES,NO,22  HOTSPUR RD ,NO,UNAVAILABLE,08,DOUBLE PANE,1957.0,2017.0
4180,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,11,,,,,PRIVATE,4154541,,,,65  WASDALE CRES ,,,08,DOUBLE PANE,1956.0,
4181,NONE,"Outdoor pool , Child play area",YES,YES,10 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,1.0,2.0,2.0,9,113,NO,"Underground Garage , Surface Parking",YES,CAPREIT,PRIVATE,4154895,NO,YES,NO,7  ROANOKE RD ,YES,FREE,16,DOUBLE PANE,1963.0,2017.0
4182,NONE,Outdoor pool,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,3.0,12,243,NO,"Underground Garage , Surface Parking",YES,BARNEY RIVER,PRIVATE,4154900,NO,YES,NO,105  ROWENA DR ,YES,FREE,16,SINGLE PANE,1966.0,2017.0
4183,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,1.0,6,65,NO,"Ground Level Garage , Surface Parking",YES,GREENWIN INC.,PRIVATE,4154903,NO,YES,NO,70  PARKWOODS VILLAGE DR ,YES,FREE,16,SINGLE PANE,1963.0,2017.0
4184,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,76.0,0.0,2.0,7,76,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,SALPAM INTERNATIONAL INC.,PRIVATE,4154920,NO,YES,NO,1264  YORK MILLS RD ,YES,FREE,16,DOUBLE PANE,1963.0,2017.0
4185,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,4,58,NO,Surface Parking,YES,,PRIVATE,4154922,NO,YES,NO,1254  YORK MILLS RD ,YES,FREE,16,DOUBLE PANE,1961.0,2017.0
4186,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,4,58,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154923,NO,YES,NO,1244  YORK MILLS RD ,YES,FREE,16,DOUBLE PANE,1961.0,2017.0
4187,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,1.0,0.0,3,45,NO,Surface Parking,YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4155427,NO,NO,NO,25  JANSUSIE RD ,NO,FREE,01,DOUBLE PANE,1963.0,2017.0
4188,INDIVIDUAL UNITS,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0.0,15.0,0.0,3,15,NO,"Ground Level Garage , Surface Parking",YES,STEELHOUSE,PRIVATE,4155437,NO,YES,NO,21  TORBOLTON DR ,NO,UNAVAILABLE,01,DOUBLE PANE,1960.0,2018.0
4189,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,2.0,10.0,2.0,7,135,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,Q REIT SUB LP,PRIVATE,4155456,NO,YES,NO,1915  MARTIN GROVE RD ,NO,FREE,01,SINGLE PANE,1972.0,2017.0
4190,NONE,,YES,YES,Not Available,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,5.0,6.0,3.0,13,179,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,,TCHC,4155465,NO,NO,NO,10  HUMBERLINE DR ,YES,BOTH,01,DOUBLE PANE,1984.0,2017.0
4191,NONE,,YES,NO,10 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,34,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,,PRIVATE,4155828,NO,YES,NO,2561  BLOOR ST W,NO,UNAVAILABLE,04,DOUBLE PANE,1944.0,2018.0
4192,NONE,,YES,YES,Not Available,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,171.0,23.0,3.0,16,171,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,CANDO APARTMENTS LTD.,PRIVATE,4155838,NO,YES,NO,2960  DON MILLS RD W,YES,PAID,17,THERMAL,1960.0,2017.0
4193,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,NO,1.0,6.0,2.0,4,171,YES,Surface Parking,YES,,TCHC,4155991,NO,NO,NO,11  ARLETA AVE ,YES,BOTH,07,THERMAL,1972.0,2017.0
4194,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,5.0,6.0,3.0,19,221,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,TCHC,4155999,NO,NO,NO,30  FALSTAFF AVE ,YES,BOTH,05,SINGLE PANE,1970.0,2017.0
4195,INDIVIDUAL UNITS,"Outdoor pool , Child play area",YES,NO,Not Available,NO,Recycling bins,YES,NO,ELECTRIC,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,12,NO,Surface Parking,YES,MORGUARD RESIDENTIAL,PRIVATE,4156415,NO,YES,NO,43  GENERATION BLVD ,NO,BOTH,25,DOUBLE PANE,1975.0,2017.0
4196,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,1.0,0.0,4,29,NO,Surface Parking,YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4152633,NO,NO,NO,1  RANNOCK ST ,YES,FREE,21,DOUBLE PANE,1955.0,2017.0
4197,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,4,36,,,,,PRIVATE,4152636,,,,1589  VICTORIA PARK AVE ,,,21,DOUBLE PANE,1954.0,
4198,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,4,54,,,,,PRIVATE,4152637,,,,1601  VICTORIA PARK AVE ,,,21,DOUBLE PANE,1954.0,
4199,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,35.0,0.0,4,35,YES,Surface Parking,YES,,PRIVATE,4152640,NO,YES,NO,1631  VICTORIA PARK AVE ,NO,FREE,21,DOUBLE PANE,1958.0,2017.0
4200,NONE,,,,Not Available,NO,Recycling bins,YES,NO,HOT WATER,,NO,NO,YES,YES,,0.0,0.0,3,12,,,YES,REITTER MANAGEMENT CORPORATION,PRIVATE,4153043,NO,YES,NO,3  ELM GROVE AVE ,YES,UNAVAILABLE,04,DOUBLE PANE,1931.0,
4201,NONE,,NO,NO,22 indoor parking spots and 36 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,28.0,0.0,3,22,YES,Surface Parking,YES,LA VALETTE PROPERTY MANAGEMENT,PRIVATE,4153050,NO,YES,NO,244  RONCESVALLES AVE ,YES,FREE,04,SINGLE PANE,1967.0,2017.0
4202,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,39,YES,Surface Parking,YES,,PRIVATE,4153053,NO,YES,NO,470  RONCESVALLES AVE ,YES,FREE,04,SINGLE PANE,1960.0,2017.0
4203,NONE,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room",YES,YES,25 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,YES,ELECTRIC,NO,YES,YES,YES,NO,15.0,68.0,2.0,6,75,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,SOCIAL HOUSING,4153054,NO,YES,NO,515  PARKSIDE DR ,YES,FREE,04,DOUBLE PANE,1990.0,2017.0
4204,INDIVIDUAL UNITS,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,YES,NO,0.0,0.0,1.0,3,20,NO,,YES,MYRMEX NON-PROFIT HOUSING,SOCIAL HOUSING,4153520,NO,NO,NO,127  ISABELLA ST ,YES,UNAVAILABLE,13,DOUBLE PANE,1901.0,2017.0
4205,INDIVIDUAL UNITS,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,48,YES,,YES,AKELIUS CANADA LTD,PRIVATE,4153527,NO,YES,NO,81  ISABELLA ST ,YES,UNAVAILABLE,13,DOUBLE PANE,1928.0,2019.0
4206,NONE,,YES,NO,0 indoor parking spots and 16 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,3.0,11,221,NO,"Underground Garage , Surface Parking",YES,,PRIVATE,4153529,NO,YES,NO,105  ISABELLA ST ,YES,FREE,13,DOUBLE PANE,1960.0,2017.0
4207,NONE,,NO,NO,10 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,28,NO,,NO,ADELAIDE DEVELOPMENT CORP.,PRIVATE,4153545,NO,YES,NO,96  ISABELLA ST ,NO,UNAVAILABLE,13,DOUBLE PANE,1917.0,2017.0
4208,NONE,,NO,NO,0 indoor parking spots and 20 outdoor parking spots,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,26,YES,,YES,,PRIVATE,4153547,NO,NO,NO,44  HUNTLEY ST ,YES,UNAVAILABLE,13,SINGLE PANE,1915.0,2017.0
4209,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,0.0,3,36,NO,Surface Parking,NO,WESTDALE PROPERTIES,PRIVATE,4154556,NO,YES,NO,44  SARANAC BLVD ,NO,PAID,08,DOUBLE PANE,1960.0,2017.0
4210,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,9.0,0.0,3,10,NO,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4154569,NO,YES,NO,415  WILSON AVE ,NO,UNAVAILABLE,06,DOUBLE PANE,1960.0,2017.0
4211,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0.0,3.0,0.0,3,55,YES,"Carport , Surface Parking",NO,ORFUS REALTY,PRIVATE,4154582,NO,YES,NO,490  WILSON AVE ,YES,FREE,06,SINGLE PANE,1955.0,2017.0
4212,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,101.0,20.0,2.0,9,101,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",YES,39 RAGLAN AVE LIMITED,PRIVATE,4154938,NO,NO,NO,39  RAGLAN AVE ,YES,FREE,12,SINGLE PANE,1967.0,2017.0
